,a_user_id,b_user_id
1,1,27
2,1,27
5,1,27
6,1,27
9,1,27
10,1,27
13,1,27
14,1,27
17,1,27
18,1,27
21,1,27
22,1,27
25,1,23
27,1,23
30,1,22
36,1,23
38,1,23
41,1,8
45,1,23
47,1,23
50,1,22
54,1,9
56,1,9
59,1,21
63,1,14
65,1,14
68,1,31
72,1,23
75,1,23
79,1,22
83,1,8
88,1,9
90,1,9
93,1,21
97,1,13
98,1,13
101,1,14
102,1,14
105,1,14
107,1,14
110,1,31
114,1,8
115,1,8
118,1,14
119,1,14
123,1,14
124,1,14
127,1,9
128,1,9
131,1,35
132,1,35
135,1,14
136,1,14
139,1,14
140,1,14
143,1,14
144,1,14
147,1,14
149,1,14
152,1,31
156,1,9
157,1,9
160,1,14
161,1,14
164,1,17
166,1,17
169,1,41
173,1,8
174,1,8
177,1,9
178,1,9
181,1,14
182,1,14
185,1,8
186,1,8
189,1,14
190,1,14
193,1,8
195,1,8
198,1,14
202,1,35
203,1,35
206,1,17
208,1,17
211,1,12
215,1,9
217,1,9
220,1,42
224,1,8
226,1,8
229,1,14
233,1,3172
234,1,3172
238,1,14
239,1,14
242,1,8
243,1,8
246,1,17
248,1,17
251,1,41
257,1,14
263,1,14
267,1,39
280,1,25
281,1,25
284,1,12
287,1,12
291,1,6
295,1,43
300,1,8
302,1,8
305,1,12
309,1,15
310,1,15
313,1,8
314,1,8
317,1,2278
318,1,2278
321,1,30
324,1,30
332,1,38
338,1,25
339,1,25
342,1,7
344,1,7
347,1,3
351,1,11
352,1,11
356,1,25
357,1,25
360,1,13
362,1,13
365,1,12
369,1,8
371,1,8
374,1,12
378,1,3
380,1,3
383,1,20
387,1,13
390,1,13
394,1,17
398,1,12
405,1,8
406,1,8
409,1,8
411,1,8
414,1,12
418,1,13
421,1,13
425,1,17
429,1,12
434,1,12
435,1,12
441,1,12
445,1,12
449,1,24
450,1,24
453,1,12
454,1,12
457,1,29
458,1,29
464,1,9
467,1,9
471,1,42
475,1,24
480,1,13
482,1,13
485,1,12
489,1,7
492,1,7
496,1,20
500,1,26
505,1,8
507,1,8
510,1,12
514,1,20
516,1,20
519,1,26
524,1,15
525,1,15
528,1,13
530,1,13
533,1,12
537,1,15
538,1,15
541,1,24
542,1,24
545,1,29
546,1,29
549,1,13
551,1,13
554,1,12
558,1,15
559,1,15
562,1,9
565,1,9
569,1,13
573,1,12
578,1,13
580,1,13
583,1,12
587,1,8
589,1,8
592,1,12
597,1,24
598,1,24
601,1,12
602,1,12
605,1,9
606,1,9
609,1,13
611,1,13
614,1,12
618,1,8
619,1,8
622,1,15
623,1,15
627,1,12
628,1,12
631,1,8
632,1,8
635,1,9
637,1,9
640,1,12
644,1,9
645,1,9
649,1,9
650,1,9
653,1,8
654,1,8
658,1,12
659,1,12
663,1,8
664,1,8
667,1,34
668,1,34
671,1,34
672,1,34
675,1,15
676,1,15
679,1,13
681,1,13
684,1,12
689,1,9
690,1,9
693,1,12
696,1,12
700,1,6
704,1,43
710,1,13
711,1,13
714,1,8
715,1,8
718,1,13
720,1,13
723,1,12
727,1,32
728,1,32
731,1,12
732,1,12
735,1,13
737,1,13
740,1,12
744,1,8
747,1,8
751,1,13
755,1,12
761,1,12
763,1,12
766,1,6
770,1,8
771,1,8
774,1,12
775,1,12
779,1,8
780,1,8
783,1,12
784,1,12
787,1,12
788,1,12
791,1,13
792,1,13
796,1,12
798,1,12
801,1,16
805,1,12
806,1,12
809,1,12
810,1,12
813,1,12
814,1,12
817,1,32
818,1,32
826,1,13
829,1,13
833,1,12
837,1,16
842,1,12
843,1,12
846,1,16
847,1,16
850,1,13
853,1,13
857,1,12
861,1,16
867,1,12
868,1,12
871,1,13
872,1,13
875,1,12
876,1,12
879,1,16
880,1,16
883,1,16
884,1,16
887,1,12
888,1,12
891,1,13
892,1,13
898,1,16
899,1,16
902,1,19
903,1,19
906,1,9
907,1,9
914,1,19
915,1,19
918,1,19
919,1,19
923,1,19
924,1,19
932,1,15
933,1,15
936,1,12
938,1,12
941,1,16
946,1,13
948,1,13
951,1,12
955,1,29
956,1,29
959,1,9
960,1,9
963,1,13
964,1,13
967,1,15
968,1,15
971,1,39
972,1,39
975,1,12
977,1,12
980,1,48
