"1","1","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"2","1","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"3","1","How is a search system used in work task completion?","Article","Journal of Information Science"
"4","1","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"5","1","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"6","2","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"7","2","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"8","2","How is a search system used in work task completion?","Article","Journal of Information Science"
"9","2","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"10","2","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"11","3","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"12","3","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"13","3","How is a search system used in work task completion?","Article","Journal of Information Science"
"14","3","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"15","3","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"16","4","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"17","4","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"18","4","How is a search system used in work task completion?","Article","Journal of Information Science"
"19","4","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"20","4","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"21","5","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"22","5","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"23","5","How is a search system used in work task completion?","Article","Journal of Information Science"
"24","5","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"25","5","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"26","6","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"27","6","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"28","6","How is a search system used in work task completion?","Article","Journal of Information Science"
"29","6","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"30","6","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"31","7","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"32","7","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"33","7","How is a search system used in work task completion?","Article","Journal of Information Science"
"34","7","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"35","7","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"36","8","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"37","8","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"38","8","How is a search system used in work task completion?","Article","Journal of Information Science"
"39","8","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"40","8","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"41","9","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"42","9","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"43","9","How is a search system used in work task completion?","Article","Journal of Information Science"
"44","9","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"45","9","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"46","10","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"47","10","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"48","10","How is a search system used in work task completion?","Article","Journal of Information Science"
"49","10","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"50","10","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"51","11","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"52","11","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"53","11","How is a search system used in work task completion?","Article","Journal of Information Science"
"54","11","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"55","11","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"56","12","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"57","12","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"58","12","How is a search system used in work task completion?","Article","Journal of Information Science"
"59","12","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"60","12","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"61","13","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"62","13","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"63","13","How is a search system used in work task completion?","Article","Journal of Information Science"
"64","13","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"65","13","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"66","15","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"67","15","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"68","15","How is a search system used in work task completion?","Article","Journal of Information Science"
"69","15","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"70","15","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"71","17","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"72","17","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"73","17","How is a search system used in work task completion?","Article","Journal of Information Science"
"74","17","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"75","17","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"76","19","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"77","19","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"78","19","How is a search system used in work task completion?","Article","Journal of Information Science"
"79","19","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"80","19","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"81","18","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"82","18","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"83","18","How is a search system used in work task completion?","Article","Journal of Information Science"
"84","18","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"85","18","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"86","20","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"87","20","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"88","20","How is a search system used in work task completion?","Article","Journal of Information Science"
"89","20","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"90","20","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"91","21","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
"92","21","Domain Specific Data Retrieval on the Semantic Web","Chapter","The Semantic Web: Research and Applications"
"93","21","How is a search system used in work task completion?","Article","Journal of Information Science"
"94","21","An examination of multi?session web tasks","Article","Proceedings of the American Society for Information Science and Technology"
"95","21","An Unsupervised Approach to Product Attribute Extraction","Conference Paper","Advances in Information Retrieval, 31th European Conference on IR Research, ECIR 2009, Toulouse, France, April 6-9, 2009. Proceedings"
"96","22","Concept-based query language approach to enterprise information systems","Article","Enterprise Information Systems"
